order_id,product_id,quantity,unit_price,item_total
1,71,5,478.78,2393.9
1,167,5,450.29,2251.4500000000003
1,87,3,126.14,378.42
1,168,3,111.21,333.63
2,37,7,964.14,6748.98
2,495,10,949.21,9492.1
2,307,1,329.64,329.64
2,338,3,754.92,2264.76
2,225,10,786.43,7864.299999999999
3,398,10,954.54,9545.4
3,19,2,368.17,736.34
4,494,2,145.09,290.18
4,221,4,487.94,1951.76
4,75,6,561.71,3370.26
5,217,6,584.71,3508.26
6,37,4,964.14,3856.56
6,82,4,196.28,785.12
6,195,2,371.37,742.74
7,95,1,764.01,764.01
8,162,7,800.07,5600.490000000001
8,270,3,554.23,1662.69
8,236,7,437.81,3064.67
8,428,8,455.07,3640.56
9,53,7,675.3,4727.099999999999
9,430,2,457.4,914.8
9,471,8,660.3,5282.4
9,35,10,294.22,2942.2000000000003
9,88,4,915.3,3661.2
10,218,1,451.32,451.32
11,275,5,111.39,556.95
11,200,2,832.97,1665.94
11,102,2,835.03,1670.06
12,364,3,921.72,2765.16
12,234,2,239.54,479.08
12,71,9,478.78,4309.02
12,462,2,796.9,1593.8
13,48,8,282.89,2263.12
13,208,1,704.62,704.62
13,149,7,680.26,4761.82
13,148,3,568.32,1704.96
13,356,10,26.52,265.2
14,116,2,69.85,139.7
15,429,7,129.53,906.71
15,3,9,452.27,4070.43
16,449,5,131.3,656.5
16,208,4,704.62,2818.48
16,82,2,196.28,392.56
17,288,9,985.63,8870.67
17,401,8,17.89,143.12
17,227,3,724.77,2174.31
17,209,1,597.88,597.88
17,287,6,577.01,3462.06
18,406,5,159.06,795.3
19,253,8,149.94,1199.52
19,198,4,953.47,3813.88
19,246,2,398.62,797.24
19,83,1,727.06,727.06
19,287,4,577.01,2308.04
20,386,2,677.38,1354.76
20,412,8,983.28,7866.24
20,497,2,182.46,364.92
21,294,8,398.77,3190.16
21,237,5,617.97,3089.8500000000004
21,297,2,796.65,1593.3
21,26,9,451.03,4059.27
22,449,7,131.3,919.1
22,126,6,531.19,3187.1400000000003
22,390,3,921.02,2763.06
23,123,8,436.27,3490.16
23,448,8,906.03,7248.24
23,298,5,408.82,2044.1
24,261,1,952.32,952.32
24,291,3,135.62,406.86
24,50,2,425.05,850.1
24,177,2,386.92,773.84
24,346,6,610.86,3665.16
25,414,4,714.54,2858.16
25,84,9,484.6,4361.400000000001
25,263,1,510.38,510.38
25,262,7,203.18,1422.26
25,230,9,651.49,5863.41
26,263,10,510.38,5103.8
26,134,4,65.55,262.2
26,40,8,875.81,7006.48
26,498,5,696.62,3483.1
27,142,9,926.33,8336.970000000001
28,308,10,551.84,5518.400000000001
28,339,3,390.19,1170.57
28,321,2,434.94,869.88
28,8,8,411.36,3290.88
28,10,3,642.32,1926.96
29,475,3,361.26,1083.78
29,56,1,756.84,756.84
30,472,4,818.12,3272.48
30,19,3,368.17,1104.51
30,220,10,505.46,5054.599999999999
30,385,5,775.6,3878.0
31,127,2,274.65,549.3
32,175,9,727.6,6548.400000000001
32,215,6,20.44,122.64
32,429,5,129.53,647.65
32,488,9,68.96,620.64
33,427,10,117.88,1178.8
33,363,9,92.76,834.84
33,288,7,985.63,6899.41
33,348,2,785.96,1571.92
33,367,7,684.25,4789.75
34,244,10,864.01,8640.1
34,202,10,309.8,3098.0
34,436,2,402.28,804.56
34,301,2,586.14,1172.28
34,108,10,723.11,7231.1
35,297,6,796.65,4779.9
35,113,7,146.12,1022.84
35,456,5,617.97,3089.8500000000004
35,371,7,64.48,451.36
35,374,8,21.24,169.92
36,222,1,921.34,921.34
36,382,3,501.19,1503.57
36,204,5,83.23,416.15
36,318,7,91.6,641.1999999999999
37,55,7,444.57,3111.99
37,304,1,851.61,851.61
37,54,7,252.29,1766.03
37,371,6,64.48,386.88
37,413,4,961.57,3846.28
38,472,5,818.12,4090.6
38,101,6,336.57,2019.42
38,373,1,22.54,22.54
38,210,6,118.28,709.6800000000001
39,427,8,117.88,943.04
39,110,2,957.66,1915.32
39,98,4,154.46,617.84
40,371,6,64.48,386.88
40,70,5,382.7,1913.5
40,68,7,787.95,5515.650000000001
40,432,10,809.52,8095.2
41,140,8,888.68,7109.44
41,321,4,434.94,1739.76
42,223,9,833.0,7497.0
42,82,6,196.28,1177.68
42,128,1,379.32,379.32
42,118,9,662.69,5964.210000000001
43,420,9,595.98,5363.82
43,64,7,880.92,6166.44
43,341,3,284.2,852.5999999999999
44,162,3,800.07,2400.21
45,216,4,515.57,2062.28
46,58,6,817.63,4905.78
47,83,6,727.06,4362.36
47,198,8,953.47,7627.76
47,241,9,581.57,5234.13
48,396,1,676.59,676.59
49,276,10,753.83,7538.3
49,122,8,507.19,4057.52
49,310,3,895.21,2685.63
49,65,8,629.73,5037.84
50,486,6,209.45,1256.6999999999998
50,18,3,530.25,1590.75
50,14,5,421.69,2108.45
51,152,1,87.64,87.64
51,379,7,341.66,2391.6200000000003
51,245,1,320.27,320.27
52,412,4,983.28,3933.12
52,71,4,478.78,1915.12
53,243,7,462.97,3240.79
53,262,9,203.18,1828.62
53,154,1,840.29,840.29
54,140,3,888.68,2666.04
