product_id,name,category,price,stock_quantity,total_quantity_sold,total_revenue
1,Product_1,Clothing,482.68,958,141,68057.88
2,Product_2,Clothing,16.76,392,182,3050.32
3,Product_3,Clothing,452.27,273,169,76433.63
4,Product_4,Books,308.93,740,159,49119.87
5,Product_5,Sports,21.32,669,181,3858.92
6,Product_6,Books,695.84,63,148,102984.32
7,Product_7,Beauty,127.04,314,264,33538.560000000005
8,Product_8,Clothing,411.36,514,146,60058.56
9,Product_9,Beauty,772.14,706,129,99606.06
10,Product_10,Electronics,642.32,963,207,132960.24000000002
11,Product_11,Books,373.87,226,210,78512.7
12,Product_12,Clothing,957.79,489,230,220291.69999999998
13,Product_13,Clothing,460.43,620,182,83798.26
14,Product_14,Books,421.69,562,163,68735.47
15,Product_15,Home & Garden,759.78,821,150,113967.0
16,Product_16,Beauty,827.35,780,120,99282.0
17,Product_17,Clothing,683.54,610,146,99796.84
18,Product_18,Electronics,530.25,540,158,83779.5
19,Product_19,Beauty,368.17,939,202,74370.34
20,Product_20,Sports,121.09,848,219,26518.71
21,Product_21,Sports,903.86,207,140,126540.4
22,Product_22,Sports,541.29,168,179,96890.90999999999
23,Product_23,Books,855.94,452,129,110416.26000000001
24,Product_24,Electronics,683.49,734,212,144899.88
25,Product_25,Sports,493.94,920,195,96318.3
26,Product_26,Sports,451.03,56,182,82087.45999999999
27,Product_27,Home & Garden,140.62,425,238,33467.56
28,Product_28,Home & Garden,568.27,572,155,88081.85
29,Product_29,Home & Garden,676.04,315,86,58139.439999999995
30,Product_30,Beauty,31.55,260,139,4385.45
31,Product_31,Electronics,748.35,592,212,158650.2
32,Product_32,Electronics,54.84,352,166,9103.44
33,Product_33,Beauty,73.12,61,91,6653.92
34,Product_34,Electronics,986.28,483,165,162736.2
35,Product_35,Electronics,294.22,184,155,45604.100000000006
36,Product_36,Clothing,768.17,746,132,101398.44
37,Product_37,Beauty,964.14,383,172,165832.08
38,Product_38,Home & Garden,454.05,939,136,61750.8
39,Product_39,Home & Garden,381.89,699,182,69503.98
40,Product_40,Beauty,875.81,136,190,166403.9
41,Product_41,Beauty,861.68,121,166,143038.88
42,Product_42,Clothing,992.92,402,127,126100.84
43,Product_43,Sports,136.07,228,179,24356.53
44,Product_44,Electronics,758.62,305,181,137310.22
