order_id,customer_id,order_date,total_amount,status,items
1,522,2025-11-03 11:49:09.922965,5357.4,Cancelled,"[{'product_id': np.int64(71), 'quantity': 5, 'unit_price': np.float64(478.78), 'item_total': np.float64(2393.8999999999996)}, {'product_id': np.int64(167), 'quantity': 5, 'unit_price': np.float64(450.29), 'item_total': np.float64(2251.4500000000003)}, {'product_id': np.int64(87), 'quantity': 3, 'unit_price': np.float64(126.14), 'item_total': np.float64(378.42)}, {'product_id': np.int64(168), 'quantity': 3, 'unit_price': np.float64(111.21), 'item_total': np.float64(333.63)}]"
2,331,2025-05-25 11:49:09.929059,26699.78,Cancelled,"[{'product_id': np.int64(37), 'quantity': 7, 'unit_price': np.float64(964.14), 'item_total': np.float64(6748.98)}, {'product_id': np.int64(495), 'quantity': 10, 'unit_price': np.float64(949.21), 'item_total': np.float64(9492.1)}, {'product_id': np.int64(307), 'quantity': 1, 'unit_price': np.float64(329.64), 'item_total': np.float64(329.64)}, {'product_id': np.int64(338), 'quantity': 3, 'unit_price': np.float64(754.92), 'item_total': np.float64(2264.7599999999998)}, {'product_id': np.int64(225), 'quantity': 10, 'unit_price': np.float64(786.43), 'item_total': np.float64(7864.299999999999)}]"
3,210,2025-02-22 11:49:09.930066,10281.74,Completed,"[{'product_id': np.int64(398), 'quantity': 10, 'unit_price': np.float64(954.54), 'item_total': np.float64(9545.4)}, {'product_id': np.int64(19), 'quantity': 2, 'unit_price': np.float64(368.17), 'item_total': np.float64(736.34)}]"
4,628,2025-05-24 11:49:09.932054,5612.2,Completed,"[{'product_id': np.int64(494), 'quantity': 2, 'unit_price': np.float64(145.09), 'item_total': np.float64(290.18)}, {'product_id': np.int64(221), 'quantity': 4, 'unit_price': np.float64(487.94), 'item_total': np.float64(1951.76)}, {'product_id': np.int64(75), 'quantity': 6, 'unit_price': np.float64(561.71), 'item_total': np.float64(3370.26)}]"
5,159,2025-03-20 11:49:09.933955,3508.26,Completed,"[{'product_id': np.int64(217), 'quantity': 6, 'unit_price': np.float64(584.71), 'item_total': np.float64(3508.26)}]"
6,316,2025-05-08 11:49:09.935065,5384.42,Pending,"[{'product_id': np.int64(37), 'quantity': 4, 'unit_price': np.float64(964.14), 'item_total': np.float64(3856.56)}, {'product_id': np.int64(82), 'quantity': 4, 'unit_price': np.float64(196.28), 'item_total': np.float64(785.12)}, {'product_id': np.int64(195), 'quantity': 2, 'unit_price': np.float64(371.37), 'item_total': np.float64(742.74)}]"
7,564,2025-10-10 11:49:09.935961,764.01,Pending,"[{'product_id': np.int64(95), 'quantity': 1, 'unit_price': np.float64(764.01), 'item_total': np.float64(764.01)}]"
8,54,2025-04-24 11:49:09.938073,13968.41,Pending,"[{'product_id': np.int64(162), 'quantity': 7, 'unit_price': np.float64(800.07), 'item_total': np.float64(5600.490000000001)}, {'product_id': np.int64(270), 'quantity': 3, 'unit_price': np.float64(554.23), 'item_total': np.float64(1662.69)}, {'product_id': np.int64(236), 'quantity': 7, 'unit_price': np.float64(437.81), 'item_total': np.float64(3064.67)}, {'product_id': np.int64(428), 'quantity': 8, 'unit_price': np.float64(455.07), 'item_total': np.float64(3640.56)}]"
9,35,2025-08-12 11:49:09.940055,17527.7,Pending,"[{'product_id': np.int64(53), 'quantity': 7, 'unit_price': np.float64(675.3), 'item_total': np.float64(4727.099999999999)}, {'product_id': np.int64(430), 'quantity': 2, 'unit_price': np.float64(457.4), 'item_total': np.float64(914.8)}, {'product_id': np.int64(471), 'quantity': 8, 'unit_price': np.float64(660.3), 'item_total': np.float64(5282.4)}, {'product_id': np.int64(35), 'quantity': 10, 'unit_price': np.float64(294.22), 'item_total': np.float64(2942.2000000000003)}, {'product_id': np.int64(88), 'quantity': 4, 'unit_price': np.float64(915.3), 'item_total': np.float64(3661.2)}]"
10,647,2025-06-06 11:49:09.940055,451.32,Completed,"[{'product_id': np.int64(218), 'quantity': 1, 'unit_price': np.float64(451.32), 'item_total': np.float64(451.32)}]"
